# Wordlist

# DATA
ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	BORROWING	NOTE	SOURCE	SUBGROUP
2042	t o q a	6107	spit, to	Huangascar	tuqa-	escupir	t o q a	tuqa-			shimelman2017	Quechua
2043	t o q a	6107	spit, to	HuarazHuailas	toqay	escupir	t o q a	toqay			parkerchavez1976	Quechua
2044	t u k a + n a	6107	spit, to	Imbabura	tukana	escupir	t u k a + n a	tukana			gomez2009	Quechua
2045	t u ʁ a	6107	spit, to	Inkawasi	tuγa.	escupir	t u ʁ a	tuγa.			heggarty2005	Quechua
2046	tʰ u s u	271	spit, to	Jaqaru	thusu.	escupir	tʰ u s u	thusu.			heggarty2005	Aymara
2047	tʃ u s a	271	spit, to	Kawki	čusa.	escupir	tʃ u s a	čusa.			heggarty2005	Aymara
2048	t u k a	6107	spit, to	Lamas	tuka	escupir	t u k a	tuka			taylor2006	Quechua
2049	t u q a	6107	spit, to	Laraos	tuqa.	escupir	t u q a	tuqa.			heggarty2005	Quechua
2050	a q t u	6108	spit, to	Lincha-Tana	aqtu-	escupir	a q t u	aqtu-		Metátesis	shimelman2017	Quechua
2051	t o q a	6107	spit, to	Lincha-Tana	tuqa-	escupir	t o q a	tuqa-			shimelman2017	Quechua
2052	tʰ u q a	6107	spit, to	Maragua	thuqa.	escupir	tʰ u q a	thuqa.			heggarty2005	Quechua
2053	t i j u k a + n a	270	spit, to	Napo	tiucana	escupir	t i j u k a + n a	tiucana			orrwrisley1981	Quechua
2054	t o χ a	6107	spit, to	Pacaraos	tuqa	escupir	t o χ a	tuqa			adelaar1982	Quechua
2055	t i j u k a + n a	270	spit, to	Pastaza	tyucana	escupir	t i j u k a + n a	tyucana			landerman1973	Quechua
2056	tʰ u ʁ a	6107	spit, to	Pocona	thuγa.	escupir	tʰ u ʁ a	thuγa.			heggarty2005	Quechua
2057	tʰ u s a	271	spit, to	Puki	thusa.	escupir	tʰ u s a	thusa.			heggarty2005	Aymara
2058	tʰ u q a	6107	spit, to	Puno	thuqa.	escupir	tʰ u q a	thuqa.			heggarty2005	Quechua
2059	t u k a	6107	spit, to	Putumayo	tuca	escupir	t u k a	tuca			tandioy1978	Quechua
2060	t o q a	6107	spit, to	Raimondi	toqay	escupir	t o q a	toqay			parkerchavez1976	Quechua
2061	a q t u	6108	spit, to	SanPedro	aqtu-	escupir	a q t u	aqtu-		Metátesis	shimelman2017	Quechua
2062	t o q a	6107	spit, to	SanPedro	tuqa-	escupir	t o q a	tuqa-			shimelman2017	Quechua
2063	t o χ a	6107	spit, to	Santiagueno	toqay	escupir	t o χ a	toqay			juanatey2021	Quechua
2064	t u k a + n i	6107	spit, to	SantoTomas	tucani	escupir	t u k a + n i	tucani			santotomas1951	Quechua
2065	t i j u k a	270	spit, to	Serena	tyuka.	escupir	t i j u k a	tyuka.			heggarty2005	Quechua
2066	tʰ u s a	271	spit, to	Sullkatiti	thusa.	escupir	tʰ u s a	thusa.			heggarty2005	Aymara
2067	tʰ u q a	6107	spit, to	Taquile	thuqa.	escupir	tʰ u q a	thuqa.			heggarty2005	Quechua
2068	t o χ a	6107	spit, to	Tarma	tuxa	escupir	t o χ a	tuxa			adelaar1977	Quechua
2069	tʃ u k a	6107	spit, to	Troje	čuka.	escupir	tʃ u k a	čuka.			heggarty2005	Quechua
2070	t o q a	6107	spit, to	Wari	toqay	escupir	t o q a	toqay			parkerchavez1976	Quechua
2071	t u q a	6107	spit, to	Yanac	tuqa.	escupir	t u q a	tuqa.			heggarty2005	Quechua
7545	t u k a + n a	6107	spit, to	Azuay	tucana	escupir	t u k a + n a	tucana				
7677	t u ʔ a	6107	spit, to	Jauja	tuqay		t u ʔ a	tuqay				
#
1491	s̺ a j a + k u + n i	6159	stand, to	Anonimo	ʃayacuni	estar en pie	s̺ a j a + k u + n i	ʃayacuni			valera1586	Quechua
1492	s a j a	6159	stand, to	Apuri	saya	estar en pie	s a j a	saya			shimelman2017	Quechua
1493	s a j a	6159	stand, to	Apurimac	saya	estar en pie	s a j a	saya			camacho2007	Quechua
1494	s a j a	6159	stand, to	Arma	saya	estar en pie	s a j a	saya			galvez2003	Quechua
1495	s a j a	6159	stand, to	Atalla	sa.ya.	estar en pie	s a j a	sa.ya.			heggarty2005	Quechua
1496	s a j a	6159	stand, to	Ayacucho	saya	estar en pie	s a j a	saya			soto1976	Quechua
1497	ʃ a j a + r i + n a	6159	stand, to	Bobonaza	shayarina	estar en pie	ʃ a j a + r i + n a	shayarina			orrwrisley1981	Quechua
1498	h a j a	6159	stand, to	Cacra-Hongos	saya	estar en pie	h a j a	saya			shimelman2017	Quechua
1499	ʃ a j a	6159	stand, to	Chachapoyas	shaya	estar en pie	ʃ a j a	shaya			taylor2006	Quechua
1500	ʃ e: - -	6159	stand, to	Chacpar	še:.	estar en pie	ʃ e:	še:.			heggarty2005	Quechua
1501	ʃ a j a	6159	stand, to	Chetilla	ša.ya.	estar en pie	ʃ a j a	ša.ya.			heggarty2005	Quechua
1502	z h a a z	6161	stand, to	Chipaya	zhaa-z	estar en pie	z h a a z	zhaa-z			heggarty2005	Uru-Chipaya
1503	s a j a	6159	stand, to	Curva	sa.ya.	estar en pie	s a j a	sa.ya.			heggarty2005	Quechua
1504	s a j a	6159	stand, to	Cuzco	sa.ya.	estar en pie	s a j a	sa.ya.			heggarty2005	Quechua
1505	s a j a + k u + n i	6159	stand, to	CuzquenoAntiguo	sayacuni	estar en pie	s a j a + k u + n i	sayacuni			holguin1608	Quechua
1506	ʃ a j a	6159	stand, to	Huallaga	ša.ya.	estar en pie	ʃ a j a	ša.ya.			heggarty2005	Quechua
1507	s aː - - + k u	6159	stand, to	Huanca	sa:kuy	estar en pie	s aː + k u	sa:kuy, sa:kulay			cerron2018	Quechua
1508	s aː - - + k u + l a	6159	stand, to	Huanca	sa:kulay	estar en pie	s aː + k u + l a	sa:kuy, sa:kulay			cerron2018	Quechua
1509	s a j a	6159	stand, to	Huancane	sa.ya.	estar en pie	s a j a	sa.ya.	quechua		heggarty2005	Aymara
1510	s a j a + ɾ i	6159	stand, to	Huangascar	sayari	estar en pie	s a j a + ɾ i	sayari		pararse	shimelman2017	Quechua
1511	ʃ aː - - + k u	6159	stand, to	HuarazHuailas	shaakuy	estar en pie	ʃ aː + k u	shaakuy			parkerchavez1976	Quechua
1512	ʃ a j a + ɾ i + n a	6159	stand, to	Imbabura	shayarina	estar en pie	ʃ a j a + ɾ i + n a	shayarina			gomez2009	Quechua
1513	ʃ a j a	6159	stand, to	Inkawasi	ša.ya.	estar en pie	ʃ a j a	ša.ya.			heggarty2005	Quechua
1514	s a j a	6159	stand, to	Jaqaru	sa.ya.	estar en pie	s a j a	sa.ya.	quechua		heggarty2005	Aymara
1515	s a j a	6159	stand, to	Kawki	sa.ya.	estar en pie	s a j a	sa.ya.	quechua		heggarty2005	Aymara
1516	ʃ a j a	6159	stand, to	Lamas	shaya	estar en pie	ʃ a j a	shaya			taylor2006	Quechua
1517	s a j a	6159	stand, to	Laraos	sa.ya.	estar en pie	s a j a	sa.ya.			heggarty2005	Quechua
1518	s a j a + ɾ i	6159	stand, to	Lincha-Tana	sayari	estar en pie	s a j a + ɾ i	sayari			shimelman2017	Quechua
1519	s a j a	6159	stand, to	Maragua	sa.ya.	estar en pie	s a j a	sa.ya.			heggarty2005	Quechua
1520	ʃ a j a + r i + n a	6159	stand, to	Napo	shayarina	estar en pie	ʃ a j a + r i + n a	shayarina			orrwrisley1981	Quechua
1521	ʈʂ a ʈʂ a - - - -	171	stand, to	Pacaraos	tratra	estar en pie	ʈʂ a ʈʂ a	tratra			adelaar1982	Quechua
1522	ʃ a j a + n a	6159	stand, to	Pastaza	shayana	estar en pie	ʃ a j a + n a	shayana			landerman1973	Quechua
1523	s a j a	6159	stand, to	Pocona	sa.ya.	estar en pie	s a j a	sa.ya.			heggarty2005	Quechua
1524	s a j a	6159	stand, to	Puki	sa.ya.	estar en pie	s a j a	sa.ya.			heggarty2005	Aymara
1525	s a j a	6159	stand, to	Puno	sa.ya.	estar en pie	s a j a	sa.ya.			heggarty2005	Quechua
1526	s a j a + k u	6159	stand, to	Putumayo	sayacu	estar en pie	s a j a + k u	sayacu			tandioy1978	Quechua
1527	ʃ aː - - + k u	6159	stand, to	Raimondi	shaakuy	estar en pie	ʃ aː + k u	shaakuy			parkerchavez1976	Quechua
1528	s a j a + ɾ i	6159	stand, to	SanPedro	sayari	estar en pie	s a j a + ɾ i	sayari			shimelman2017	Quechua
1529	s a j a	6159	stand, to	Santiagueno	sayay	estar en pie	s a j a	sayay			juanatey2021	Quechua
1530	s a j a + k u + n i	6159	stand, to	SantoTomas	ʃayacuni	estar en pie	s a j a + k u + n i	ʃayacuni			santotomas1951	Quechua
1531	ʃ a j a	6159	stand, to	Serena	ša.ya.	estar en pie	ʃ a j a	ša.ya.			heggarty2005	Quechua
1532	s a j a	6159	stand, to	Sullkatiti	sa.ya.	estar en pie	s a j a	sa.ya.			heggarty2005	Aymara
1533	s a j a	6159	stand, to	Taquile	sa.ya.	estar en pie	s a j a	sa.ya.			heggarty2005	Quechua
1534	ʃ a j a	6159	stand, to	Tarma	šaya	estar en pie	ʃ a j a	šaya			adelaar1977	Quechua
1535	ʃ a j a	6159	stand, to	Troje	ša.ya.	estar en pie	ʃ a j a	ša.ya.			heggarty2005	Quechua
1536	ʃ aː - - + k u	6159	stand, to	Wari	shaakuy	estar en pie	ʃ aː + k u	shaakuy			parkerchavez1976	Quechua
1537	ʃ a: - -	6159	stand, to	Yanac	ša:.	estar en pie	ʃ a:	ša:.			heggarty2005	Quechua
7535	ʃ a j a + n a	6159	stand, to	Azuay	shaya-na	estar en pie	ʃ a j a + n a	shaya-na				
#
5810	k oi ʎ u r	6225	star	Anonimo	coyllur	estrella	k oi ʎ u r	coyllur			valera1586	Quechua
5811	l u s i ɾ u	6226	star	Apuri	lusiru	estrella	l u s i ɾ u	lusiru			shimelman2017	Quechua
5812	q oi ʎ u ɾ	6225	star	Apuri	quyllur	estrella	q oi ʎ u ɾ	quyllur			shimelman2017	Quechua
5813	χ ui ʎ u ɾ	6225	star	Arma	quyllur	estrella	χ ui ʎ u ɾ	quyllur			galvez2003	Quechua
5814	l u z i r u	6226	star	Atalla	luziru	estrella	l u z i r u	luziru			heggarty2005	Quechua
5815	χ oi ʎ u ɾ	6225	star	Ayacucho	qoyllur	estrella	χ oi ʎ u ɾ	qoyllur			soto1976	Quechua
5816	ʃ u s i l u	6226	star	Cacra-Hongos	lusiru	estrella	ʃ u s i l u	lusiru			shimelman2017	Quechua
5817	q oi ʎ u l	6225	star	Cacra-Hongos	quyllur	estrella	q oi ʎ u l	quyllur			shimelman2017	Quechua
5818	q ui ʎ a r̥	6225	star	Chacpar	quyλaŕ	estrella	q ui ʎ a r̥	quyλaŕ, quyλ.uŕ, χuyλaŕ, χuyλ.uŕ			heggarty2005	Quechua
5819	q ui ʎ u r̥	6225	star	Chacpar	quyλ.uŕ	estrella	q ui ʎ u r̥	quyλaŕ, quyλ.uŕ, χuyλaŕ, χuyλ.uŕ			heggarty2005	Quechua
5820	χ ui ʎ a r̥	6225	star	Chacpar	χuyλaŕ	estrella	χ ui ʎ a r̥	quyλaŕ, quyλ.uŕ, χuyλaŕ, χuyλ.uŕ			heggarty2005	Quechua
5821	χ ui ʎ u r̥	6225	star	Chacpar	χuyλ.uŕ	estrella	χ ui ʎ u r̥	quyλaŕ, quyλ.uŕ, χuyλaŕ, χuyλ.uŕ			heggarty2005	Quechua
5822	l u z e r u	6226	star	Chetilla	luzeru	estrella	l u z e r u	luzeru			heggarty2005	Quechua
5823	w a r a + w a r a	6227	star	Chipaya	wara.wara	estrella	w a r a + w a r a	wara.wara			heggarty2005	Uru-Chipaya
5824	q ui ʎ u r	6225	star	Curva	quyλur	estrella	q ui ʎ u r	quyλur			heggarty2005	Quechua
5825	tʃʼ a s k a	6229	star	Cuzco	č'aska	estrella	tʃʼ a s k a	č'aska			heggarty2005	Quechua
5826	k ui ʎ u r	6225	star	CuzquenoAntiguo	coyllur	estrella	k ui ʎ u r	coyllur			holguin1608	Quechua
5827	q ui ʎ a r	6225	star	Huallaga	quyλar	estrella	q ui ʎ a r	quyλar, quyλur			heggarty2005	Quechua
5828	q ui ʎ u r	6225	star	Huallaga	quyλur	estrella	q ui ʎ u r	quyλar, quyλur			heggarty2005	Quechua
5829	h ui ʎ u r	6225	star	Huanca	quyllur	estrella	h ui ʎ u r	quyllur				Quechua
5831	h ui ʎ u r	6225	star	Jauja	quyllur	estrella	h ui ʎ u r	quyllur				Quechua
5832	w a r a + w a r a	6227	star	Huancane	wara.wara	estrella	w a r a + w a r a	wara.wara			heggarty2005	Aymara
5833	l u s i ɾ u	6226	star	Huangascar	lusiru	estrella	l u s i ɾ u	lusiru			shimelman2017	Quechua
5834	q ai ʎ u ɾ	6225	star	HuarazHuailas	qayllur	estrella	q ai ʎ u ɾ	qayllur			parkerchavez1976	Quechua
5835	l u z i ɾ u	6226	star	Imbabura	luziru	estrella	l u z i ɾ u	luziru			gomez2009	Quechua
5836	χ u j a r	6225	star	Inkawasi	χuyar	estrella	χ u j a r	χuyar			heggarty2005	Quechua
5837	ts a q o l -	191	star	Iruhito	tsaqól	estrella	ts a q o l	tsaqól			cerron2016	Uru-Chipaya
5838	w a r a + x a - - - -	6227	star	Jaqaru	wara.xa	estrella	w a r a + x a	wara.xa			heggarty2005	Aymara
5839	w a r a + x a - - - -	6227	star	Kawki	wara.xa	estrella	w a r a + x a	wara.xa			heggarty2005	Aymara
5840	l u s e r o	6226	star	Lamas	lusero	estrella	l u s e r o	lusero			park1976	Quechua
5841	q ui ʎ u r	6225	star	Laraos	quyλur	estrella	q ui ʎ u r	quyλur			heggarty2005	Quechua
5842	l u s i ɾ u	6226	star	Lincha-Tana	lusiru	estrella	l u s i ɾ u	lusiru			shimelman2017	Quechua
5843	q oi ʎ u ɾ	6225	star	Lincha-Tana	quyllur	estrella	q oi ʎ u ɾ	quyllur			shimelman2017	Quechua
5844	tʃʼ a s k a	6229	star	Maragua	č'aska	estrella	tʃʼ a s k a	č'aska			heggarty2005	Quechua
5845	l oː s e ɾ o	6226	star	Pacaraos	loosero	estrella	l oː s e ɾ o	loosero			adelaar1982	Quechua
5846	i s t i r i ʎ a	6230	star	Pastaza	istirilla	estrella	i s t i r i ʎ a	istirilla			landerman1973	Quechua
5847	tʃʼ a s k a	6229	star	Pocona	č'aska	estrella	tʃʼ a s k a	č'aska			heggarty2005	Quechua
5848	w a r a + w a r a	6227	star	Puki	wara.wara	estrella	w a r a + w a r a	wara.wara			heggarty2005	Aymara
5849	tʃʼ a s k a	6229	star	Puno	č'aska	estrella	tʃʼ a s k a	č'aska			heggarty2005	Quechua
5850	q ai ʎ u ɾ	6225	star	Raimondi	qayllur	estrella	q ai ʎ u ɾ	qayllur			parkerchavez1976	Quechua
5851	l u s i ɾ u	6226	star	SanPedro	lusiru	estrella	l u s i ɾ u	lusiru			shimelman2017	Quechua
5852	q o ʒ u ɾ	6225	star	Santiagueno	qollur	estrella	q o ʒ u ɾ	qollur			juanatey2021	Quechua
5853	k ui ʎ o r	6225	star	SantoTomas	cuyllor	estrella	k ui ʎ o r	cuyllor		ch’aska: lucero	santotomas1951	Quechua
5854	e s t - r e ʎ a	6230	star	Serena	estrella	estrella	e s t r e ʎ a	estrella			heggarty2005	Quechua
5855	w a r a + w a r a	6227	star	Sullkatiti	wara.wara	estrella	w a r a + w a r a	wara.wara			heggarty2005	Aymara
5856	q ui ʎ u r	6225	star	Taquile	quyλur	estrella	q ui ʎ u r	quyλur			heggarty2005	Quechua
5857	χ oi ʎ a ʐ	6225	star	Tarma	xuyl̃ar	estrella	χ oi ʎ a ʐ	xuyl̃ar			adelaar1977	Quechua
5858	l u z e r u	6226	star	Troje	luzeru	estrella	l u z e r u	luzeru			heggarty2005	Quechua
5859	ts a k uː ɲ a	191	star	Tsimu	tsacú:ña	estrella	ts a k uː ɲ a	tsacú:ña, kí:šlla				Uru-Chipaya
5860	k iː ʃ ʎ a	189	star	Tsimu	kí:šlla	estrella	k iː ʃ ʎ a	tsacú:ña, kí:šlla				Uru-Chipaya
5861	q ai ʎ u ɾ	6225	star	Wari	qayllur	estrella	q ai ʎ u ɾ	qayllur			parkerchavez1976	Quechua
5862	l o s eː r o	6226	star	Yanac	lose:ro	estrella	l o s eː r o	lose:ro			heggarty2005	Quechua
7479	k ui ʎ u ɾ	6225	star	Azuay	cuillur	estrella	k ui ʎ u ɾ	cuillur				
#
6210	r u m i	6287	stone	Anonimo	rumi	piedra	r u m i	rumi			valera1586	Quechua
6211	ɾ u m i	6287	stone	Apuri	rumi	piedra	ɾ u m i	rumi			shimelman2017	Quechua
6212	r u m i	6287	stone	Apurimac	rumi	piedra	r u m i	rumi			camacho2007	Quechua
6213	ɾ u m i	6287	stone	Arma	rumi	piedra	ɾ u m i	rumi			galvez2003	Quechua
6214	r u m i	6287	stone	Atalla	rumi	piedra	r u m i	rumi			heggarty2005	Quechua
6215	ɾ u m i	6287	stone	Ayacucho	rumi	piedra	ɾ u m i	rumi			soto1976	Quechua
6216	r u m i	6287	stone	Bobonaza	rumi	piedra	r u m i	rumi			orrwrisley1981	Quechua
6217	l u m i	6287	stone	Cacra-Hongos	rumi	piedra	l u m i	rumi			shimelman2017	Quechua
6218	r u m i	6287	stone	Chachapoyas	rumi	piedra	r u m i	rumi			taylor2006	Quechua
6219	r u m i	6287	stone	Chacpar	rumi	piedra	r u m i	rumi			heggarty2005	Quechua
6220	r u m i	6287	stone	Chetilla	rumi	piedra	r u m i	rumi			heggarty2005	Quechua
6221	m a z -	6288	stone	Chipaya	maz	piedra	m a z	maz			heggarty2005	Uru-Chipaya
6222	r u m i	6287	stone	Curva	rumi	piedra	r u m i	rumi			heggarty2005	Quechua
6223	r u m i	6287	stone	Cuzco	rumi	piedra	r u m i	rumi			heggarty2005	Quechua
6224	r u m i	6287	stone	CuzquenoAntiguo	rumi	piedra	r u m i	rumi			holguin1608	Quechua
6225	r u m i	6287	stone	Huallaga	rumi	piedra	r u m i	rumi			heggarty2005	Quechua
6226	l u m i	6287	stone	Huanca	lumi	piedra	l u m i	lumi			cerron2018	Quechua
6228	q a l a	6289	stone	Huancane	qala	piedra	q a l a	qala			heggarty2005	Aymara
6229	ɾ u m i	6287	stone	Huangascar	rumi	piedra	ɾ u m i	rumi			shimelman2017	Quechua
6230	ɾ u m i	6287	stone	HuarazHuailas	rumi	piedra	ɾ u m i	rumi			parkerchavez1976	Quechua
6231	ɾ u m i	6287	stone	Imbabura	rumi	piedra	ɾ u m i	rumi			gomez2009	Quechua
6232	r̝ u m i	6287	stone	Inkawasi	řumi	piedra	r̝ u m i	řumi			heggarty2005	Quechua
6233	m a s i	6288	stone	Iruhito	mási	piedra	m a s i	mási			cerron2016	Uru-Chipaya
6234	q a l a	6289	stone	Jaqaru	qala	piedra	q a l a	qala			heggarty2005	Aymara
6235	q a l a	6289	stone	Kawki	qala	piedra	q a l a	qala			heggarty2005	Aymara
6236	r u m i	6287	stone	Lamas	rumi	piedra	r u m i	rumi			taylor2006	Quechua
6237	r u m i	6287	stone	Laraos	rumi	piedra	r u m i	rumi			heggarty2005	Quechua
6238	l u m i	6287	stone	Lincha-Tana	rumi	piedra	l u m i	rumi			shimelman2017	Quechua
6239	r̝ u m i	6287	stone	Maragua	řumi	piedra	r̝ u m i	řumi			heggarty2005	Quechua
6240	r u m i	6287	stone	Napo	rumi	piedra	r u m i	rumi			orrwrisley1981	Quechua
6241	r u m ai	6287	stone	Pacaraos	rrumay	piedra	r u m ai	rrumay, rrumi			adelaar1982	Quechua
6242	r u m i	6287	stone	Pacaraos	rrumi	piedra	r u m i	rrumay, rrumi			adelaar1982	Quechua
6243	ɾ u m i	6287	stone	Pastaza	ɾumi	piedra	ɾ u m i	ɾumi			landerman1973	Quechua
6244	r u m i	6287	stone	Pocona	rumi	piedra	r u m i	rumi			heggarty2005	Quechua
6245	q a l a	6289	stone	Puki	qala	piedra	q a l a	qala			heggarty2005	Aymara
6246	r u m i	6287	stone	Puno	rumi	piedra	r u m i	rumi			heggarty2005	Quechua
6247	r u m i	6287	stone	Putumayo	rumi	piedra	r u m i	rumi			tandioy1978	Quechua
6248	ɾ u m i	6287	stone	Raimondi	rumi	piedra	ɾ u m i	rumi			parkerchavez1976	Quechua
6249	ɾ u m i	6287	stone	SanPedro	rumi	piedra	ɾ u m i	rumi			shimelman2017	Quechua
6250	ɾ u m i	6287	stone	Santiagueno	rumi	piedra	ɾ u m i	rumi			juanatey2021	Quechua
6251	r u m i	6287	stone	SantoTomas	rumi	piedra	r u m i	rumi			santotomas1951	Quechua
6252	r u m i	6287	stone	Serena	rumi	piedra	r u m i	rumi			heggarty2005	Quechua
6253	q a l a	6289	stone	Sullkatiti	qala	piedra	q a l a	qala			heggarty2005	Aymara
6254	r u m i	6287	stone	Taquile	rumi	piedra	r u m i	rumi			heggarty2005	Quechua
6255	ʐ u m i	6287	stone	Tarma	rumi	piedra	ʐ u m i	rumi			adelaar1977	Quechua
6256	r u m i	6287	stone	Troje	rumi	piedra	r u m i	rumi			heggarty2005	Quechua
6257	m aː s i	6288	stone	Tsimu	má:si	piedra	m aː s i	má:si			cerron2016	Uru-Chipaya
6258	ɾ u m i	6287	stone	Wari	rumi	piedra	ɾ u m i	rumi			parkerchavez1976	Quechua
6259	r u m i	6287	stone	Yanac	rumi	piedra	r u m i	rumi			heggarty2005	Quechua
7487	ɾ u m i	6287	stone	Azuay	rumi	piedra	ɾ u m i	rumi				
7678	l u m i	6287	stone	Jauja	lumi		l u m i	lumi				
#
1923	tʃ ɔ m k a + n i	220	suck, to	Anonimo	chomcani	chupar, mamar	tʃ ɔ m k a + n i	chomcani			valera1586	Quechua
1924	ʃ o q u	6339	suck, to	Apuri	shuqu	chupar, mamar	ʃ o q u	shuqu			shimelman2017	Quechua
1925	tʃ o n q a	220	suck, to	Apurimac	chonqa	chupar, mamar	tʃ o n q a	chonqa			camacho2007	Quechua
1926	s u χ u	6339	suck, to	Arma	suqu	chupar, mamar	s u χ u	suqu			galvez2003	Quechua
1927	s u χ u	6339	suck, to	Atalla	suχu.	chupar, mamar	s u χ u	suχu.			heggarty2005	Quechua
1928	s o χ o	6339	suck, to	Ayacucho	soqo	chupar, mamar	s o χ o	soqo			soto1976	Quechua
1929	tʃ u p a + n a	217	suck, to	Bobonaza	chupana	chupar, mamar	tʃ u p a + n a	chupana			orrwrisley1981	Quechua
1930	ʃ o q u	6339	suck, to	Cacra-Hongos	shuqu	chupar, mamar	ʃ o q u	shuqu			shimelman2017	Quechua
1931	ç u k u	6339	suck, to	Chachapoyas	shuku	chupar, mamar	ç u k u	shuku			taylor2006	Quechua
1932	ʃ u q u	6339	suck, to	Chacpar	šuqu.	chupar, mamar	ʃ u q u	šuqu.			heggarty2005	Quechua
1934	tʃʼ u n q a	220	suck, to	Curva	č'u.nqa.	chupar, mamar	tʃʼ u n q a	č'u.nqa.			heggarty2005	Quechua
1935	tʃʼ u n q a	220	suck, to	Cuzco	č'u.nqa.	chupar, mamar	tʃʼ u n q a	č'u.nqa.			heggarty2005	Quechua
1936	tʃ u m χ a + n i	220	suck, to	CuzquenoAntiguo	chhumccani	chupar, mamar	tʃ u m χ a + n i	chhumccani			holguin1608	Quechua
1937	ʃ u q u	6339	suck, to	Huallaga	šuqu.	chupar, mamar	ʃ u q u	šuqu.			heggarty2005	Quechua
1938	ɲ u ɲ u	609	suck, to	Huanca	ñuñuy	chupar, mamar	ɲ u ɲ u	ñuñuy		de 'seno' s̹uʔuy (sorber)	cerron2018	Quechua
1939	tʃʼ u - - m u	6340	suck, to	Huancane	č'u.mu.	chupar, mamar	tʃʼ u m u	č'u.mu.			heggarty2005	Aymara
1940	ʃ o q u	6339	suck, to	Huangascar	shuqu	chupar, mamar	ʃ o q u	shuqu			shimelman2017	Quechua
1941	m a m a ɾ	219	suck, to	HuarazHuailas	mamar	chupar, mamar	m a m a ɾ	mamar			parkerchavez1976	Quechua
1942	tʃ u p a + n a	217	suck, to	Imbabura	chupana	chupar, mamar	tʃ u p a + n a	chupana			gomez2009	Quechua
1943	ʃ u ʁ u	6339	suck, to	Inkawasi	šuγu.	chupar, mamar	ʃ u ʁ u	šuγu.			heggarty2005	Quechua
1944	ʃ u qʼ u	6339	suck, to	Jaqaru	šuq'u.	chupar, mamar	ʃ u qʼ u	šuq'u.			heggarty2005	Aymara
1945	ʃ u qʼ u	6339	suck, to	Kawki	šuq'u.	chupar, mamar	ʃ u qʼ u	šuq'u.			heggarty2005	Aymara
1946	ç u k u	6339	suck, to	Lamas	shuku	chupar, mamar	ç u k u	shuku			taylor2006	Quechua
1947	ʃ u q u	6339	suck, to	Laraos	šuqu.	chupar, mamar	ʃ u q u	šuqu.			heggarty2005	Quechua
1948	ʃ o q u	6339	suck, to	Lincha-Tana	shuqu	chupar, mamar	ʃ o q u	shuqu			shimelman2017	Quechua
1949	tʃʼ u n q a	220	suck, to	Maragua	č'u.nqa.	chupar, mamar	tʃʼ u n q a	č'u.nqa.			heggarty2005	Quechua
1950	ts u n g a + n a	220	suck, to	Napo	tsungana	chupar, mamar	ts u n g a + n a	tsungana			orrwrisley1981	Quechua
1951	ç o χ u	6339	suck, to	Pacaraos	shuqu	chupar, mamar	ç o χ u	shuqu			adelaar1982	Quechua
1952	tʃ u p a + n a	217	suck, to	Pastaza	chupana	chupar, mamar	tʃ u p a + n a	chupana			landerman1973	Quechua
1953	ts u n g a + n a	220	suck, to	Pastaza	tsungana	chupar, mamar	ts u n g a + n a	tsungana			landerman1973	Quechua
1954	tʃ u tʃ u + n a	607	suck, to	Pastaza	chuchuna	chupar, mamar	tʃ u tʃ u + n a	chuchuna		mamar	landerman1973	Quechua
1955	tʃʼ u n ʁ a	220	suck, to	Pocona	č'u.nγa.	chupar, mamar	tʃʼ u n ʁ a	č'u.nγa.			heggarty2005	Quechua
1956	tʃʼ u m a	6340	suck, to	Puki	č'u.ma.	chupar, mamar	tʃʼ u m a	č'u.ma.			heggarty2005	Aymara
1957	tʃʼ u n q a	220	suck, to	Puno	č'u.nqa.	chupar, mamar	tʃʼ u n q a	č'u.nqa.			heggarty2005	Quechua
1958	tʃ u tʃ u + r i	607	suck, to	Putumayo	chuchuri	chupar, mamar	tʃ u tʃ u + r i	chuchuri			tandioy1978	Quechua
1959	ʃ o q u	6339	suck, to	Raimondi	shoquy	chupar, mamar	ʃ o q u	shoquy			parkerchavez1976	Quechua
1960	ʃ o q u	6339	suck, to	SanPedro	shuqu	chupar, mamar	ʃ o q u	shuqu			shimelman2017	Quechua
1961	tʃ o ŋ q a	220	suck, to	Santiagueno	chonqay	chupar, mamar	tʃ o ŋ q a	chonqay, ñuñuy			juanatey2021	Quechua
1962	ɲ u ɲ u	609	suck, to	Santiagueno	ñuñuy	chupar, mamar	ɲ u ɲ u	chonqay, ñuñuy		de 'seno' ñuñuy ‘mamar’	juanatey2021	Quechua
1963	tʃ’ u n q a	220	suck, to	SantoTomas	ch’unqa	chupar, mamar	tʃ’ u n q a	ch’unqa, ch’umqa, suq’uni			santotomas1951	Quechua
1964	tʃ’ u m q a	220	suck, to	SantoTomas	ch’umqa	chupar, mamar	tʃ’ u m q a	ch’unqa, ch’umqa, suq’uni			santotomas1951	Quechua
1965	s u q’ u + n i	6339	suck, to	SantoTomas	suq’uni	chupar, mamar	s u q’ u + n i	ch’unqa, ch’umqa, suq’uni		suq’uni aymara?	santotomas1951	Quechua
1966	ts u n g a	220	suck, to	Serena	tsu.nga.	chupar, mamar	ts u n g a	tsu.nga.			heggarty2005	Quechua
